review,rating,date,bank
selman yusufmohmmde,5,2026-07-27,CBE
"Almost Perfect! Easily one of the best and simplest updates so far! The app works great, but it’s really missing a dark mode toggle. Add dark mode and it's an instant 5 stars! 🌙✨",4,2026-07-27,CBE
best apps,1,2026-07-27,CBE
i hite yoy,5,2026-07-27,CBE
Thank you 👏🏼❤️👏🏼,5,2026-07-27,CBE
ሙሉ,2,2026-07-27,CBE
The app stops while log in,4,2026-07-27,CBE
ldont sperinse,5,2026-07-27,CBE
"Frequently asking update, i hope it will be solved!",5,2026-07-27,CBE
i cant login in this app,1,2026-07-27,CBE
Tolaa Damee,5,2026-07-26,CBE
it is best app,5,2026-07-26,CBE
ወሸሸ,5,2026-07-26,CBE
good,5,2026-07-26,CBE
very nice application,5,2026-07-26,CBE
"It has a good design however I faced a compatability problem on the new Huawei model smartphone, the app log in normally but then quit or close in 10 seconds by itself.",3,2026-07-26,CBE
Good,5,2026-07-25,CBE
no biometric after update,4,2026-07-25,CBE
why it can't open,5,2026-07-25,CBE
"ብዙ Inconvenience የሚፈጥሩ ነገሮች አሉ አስተካክሉ። እስክ አስቡ ከሌሎች ባንኮች የትኛው ባንክ ነው update ባደረገ ቁጥር ደንበኛውን ቅርንጫፍ የሚያመላልሰው? ስንት ጊዜ ነው update የሆነዉ? ስንት ደንበኛ አጥተናል ? ወጭ ሀገር ያሉ ደንበኞች ።how customers living abroad can get passphrase and activation OTP ? WHEN YOU WANT TO MAKE UPDATE, FIRST CONSIDER CUSTOMERS FROM DIFFERENT PERSPECTIVE. BY NO MEANS APPLICATION USERS CAN NOT VISIT BANK BRANCH DUE TO UPDATE FROM BANK.",4,2026-07-24,CBE
the best application mobile banking system for commercial bank of Ethiopia,5,2026-07-24,CBE
bankin daldala ltiyoophiyaa,5,2026-07-24,CBE
good!!!!!,3,2026-07-24,CBE
I'm very happy in this app b/c eseay for use,4,2026-07-24,CBE
it was great,5,2026-07-24,CBE
ok,5,2026-07-24,CBE
Nice App,5,2026-07-24,CBE
vcry good,5,2026-07-24,CBE
it requires updates every time. please adjust it.,4,2026-07-24,CBE
perfect,5,2026-07-23,CBE
smartphone app,5,2026-07-23,CBE
best,5,2026-07-23,CBE
very good bpp,5,2026-07-23,CBE
the app is misbehaving during log in many times.,1,2026-07-23,CBE
very good 👍👍,5,2026-07-22,CBE
Help to open CBE App,5,2026-07-22,CBE
sory,5,2026-07-22,CBE
My phone is huawei nova 24.because I don't have play or apple store. it doesn't work. Huawai doesn't have both. so For huawei user we are out of service.So what is the solutions,2,2026-07-22,CBE
it's best mobile app,5,2026-07-22,CBE
"Sometimes it doesn't sync account permanently, The other OK 🙏",4,2026-07-22,CBE
It is very helpful.,5,2026-07-21,CBE
I proud that is my bank,5,2026-07-21,CBE
very good,5,2026-07-21,CBE
derej,5,2026-07-21,CBE
I can use this app,5,2026-07-21,CBE
ገበያው ዋለ,3,2026-07-21,CBE
Its good app,4,2026-07-21,CBE
deginet abin0,1,2026-07-21,CBE
Amaizing,5,2026-07-20,CBE
👍,4,2026-07-20,CBE
it friendly to use and fast,5,2026-07-20,CBE
12 year,3,2026-07-20,CBE
great Job,5,2026-07-20,CBE
Why rooted,1,2026-07-20,CBE
vary good appelication,5,2026-07-20,CBE
salahadin.mahamde,5,2026-07-20,CBE
why should i have to update it everytime?,3,2026-07-19,CBE
Nice,5,2026-07-19,CBE
i like thise the best app,5,2026-07-19,CBE
these app are not working in huawei i try a lote i m using huawei phone what can i do ??????????????????????,3,2026-07-19,CBE
በጣም አሪፍ ነው,5,2026-07-18,CBE
😏,1,2026-07-18,CBE
Rakkooleen Aappichi qabu hedduun furameera. ከዚህ በፊት የነበረዉን ችግሮች ፈተዋል።,5,2026-07-18,CBE
it's good,5,2026-07-18,CBE
New update Keeps crushing. Doesn't work,1,2026-07-18,CBE
"What is this, it always says ""Renew me"" in a small way?",1,2026-07-18,CBE
Ican't open,5,2026-07-17,CBE
Good App,5,2026-07-17,CBE
